rank,name,bundesland,bezirk,population_2024,website
177,Bad Leonfelden,Oberösterreich,Urfahr-Umgebung,4433,https://www.bad-leonfelden.ooe.gv.at
178,Pinsdorf,Oberösterreich,Gmunden,4381,http://www.pinsdorf.at
179,Passail,Steiermark,Weiz,4379,http://www.passail.gv.at
180,Wildschönau,Tirol,Kufstein,4377,http://www.wildschoenau.gv.at
181,Thaur,Tirol,Innsbruck-Land,4369,https://www.thaur.gv.at
182,Ried in der Riedmark,Oberösterreich,Perg,4353,https://www.ried-riedmark.at
183,Söding-Sankt Johann,Steiermark,Voitsberg,4324,http://www.soeding.at
184,Luftenberg an der Donau,Oberösterreich,Perg,4319,http://www.luftenberg.at
185,Wies,Steiermark,Deutschlandsberg,4286,https://www.wies.at
186,Bad St. Leonhard im Lavanttal,Kärnten,Wolfsberg,4265,http://www.bad-st-leonhard-i-lav.at
187,Retz,Niederösterreich,Hollabrunn,4253,http://www.retz.gv.at
188,Gössendorf,Steiermark,Graz-Umgebung,4237,http://www.goessendorf.at
189,Theresienfeld,Niederösterreich,Wiener Neustadt (Land),4218,https://www.theresienfeld.gv.at
190,Mäder,Vorarlberg,Feldkirch,4217,https://maeder.at
191,St. Margarethen an der Raab,Steiermark,Weiz,4209,https://www.st-margarethen-raab.at
192,Irdning-Donnersbachtal,Steiermark,Liezen,4202,http://www.irdning-donnersbachtal.gv.at
193,Tiefgraben,Oberösterreich,Vöcklabruck,4200,http://www.tiefgraben.at
194,Zwentendorf an der Donau,Niederösterreich,Tulln,4195,http://www.zwentendorf-donau.gv.at
195,Götzens,Tirol,Innsbruck-Land,4188,http://www.goetzens.gv.at
196,Jennersdorf,Burgenland,Jennersdorf,4168,https://www.jennersdorf.eu
197,Schalchen,Oberösterreich,Braunau/Inn,4154,http://www.schalchen.at
198,Gaweinstal,Niederösterreich,Mistelbach,4134,http://www.gaweinstal.at
199,Ottnang am Hausruck,Oberösterreich,Vöcklabruck,4114,http://www.ottnang.at
200,Inzing,Tirol,Innsbruck-Land,4112,https://www.inzing.gv.at
201,Buchkirchen,Oberösterreich,Wels-Land,4110,http://www.buchkirchen.at
202,Sankt Gilgen,Salzburg,Salzburg-Umgebung,4072,http://www.gemgilgen.at
203,Bramberg am Wildkogel,Salzburg,Zell am See,4062,http://www.bramberg.at
204,Bleiburg,Kärnten,Völkermarkt,3989,http://www.bleiburg.gv.at
205,Anger,Steiermark,Weiz,3988,http://www.anger.gv.at
206,Mondsee,Oberösterreich,Vöcklabruck,3981,http://www.gemeinde-mondsee.at
207,Fußach,Vorarlberg,Bregenz,3977,http://www.fussach.at
208,Mayrhofen,Tirol,Schwaz,3975,https://www.mayrhofen.gv.at
209,Bad Waltersdorf,Steiermark,Hartberg-Fürstenfeld,3948,http://www.bad-waltersdorf.gv.at
210,Langenwang,Steiermark,Bruck-Mürzzuschlag,3901,http://www.langenwang.at
211,Hinterbrühl,Niederösterreich,Mödling,3895,http://www.hinterbruehl.gv.at
